Raio1,Raio2,Dens1,Dens2,omega,mspp,mrpp,Difusividade_radial,Difusividade_axial
0.002,0.002,3000,3000,1,0.2,0.06,0.000431534,0.0000571
0.002,0.002,3000,3000,1,0.6,0.02,0.001304088,0.0000255
0.002,0.002,3000,3000,3,0.2,0.02,0.001512353,0.000261854
0.002,0.002,3000,3000,3,0.6,0.06,0.001902413,0.0000949
0.002,0.002,3000,7000,1,0.2,0.02,0.000666579,0.000048454
0.002,0.002,3000,7000,1,0.6,0.06,0.002803433,0.000044
0.002,0.002,3000,7000,3,0.2,0.06,0.002281496,0.000163035
0.002,0.002,3000,7000,3,0.6,0.02,0.002844533,0.0000898
0.002,0.002,7000,3000,1,0.2,0.02,0.000141583,0.0000372
0.002,0.002,7000,3000,1,0.6,0.06,0.000679102,0.00000875
0.002,0.002,7000,3000,3,0.2,0.06,0.000337822,0.000113103
0.002,0.002,7000,3000,3,0.6,0.02,0.000666231,0.0000689
0.002,0.002,7000,7000,1,0.2,0.06,0.000266083,0.0000447
0.002,0.002,7000,7000,1,0.6,0.02,0.000878461,0.000017709
0.002,0.002,7000,7000,3,0.2,0.02,0.001329337,0.000234256
0.002,0.002,7000,7000,3,0.6,0.06,0.001923528,0.0000871
0.002,0.004,3000,3000,1,0.2,0.02,0.000306599,0.00005037
0.002,0.004,3000,3000,1,0.6,0.06,0.000256665,0.0000377
0.002,0.004,3000,3000,3,0.2,0.06,0.001946291,0.000260455
0.002,0.004,3000,3000,3,0.6,0.02,0.000805347,0.0000971
0.002,0.004,3000,7000,1,0.2,0.06,0.000301634,0.0000441
0.002,0.004,3000,7000,1,0.6,0.02,0.000370378,0.000052712
0.002,0.004,3000,7000,3,0.2,0.02,0.001873147,0.000317055
0.002,0.004,3000,7000,3,0.6,0.06,0.001800131,0.000371143
0.002,0.004,7000,3000,1,0.2,0.06,0.000216036,0.0000535
0.002,0.004,7000,3000,1,0.6,0.02,0.0000976,0.0000276
0.002,0.004,7000,3000,3,0.2,0.02,0.001369122,0.000107383
0.002,0.004,7000,3000,3,0.6,0.06,0.00067846,0.0000887
0.002,0.004,7000,7000,1,0.2,0.02,0.000299528,0.0000616
0.002,0.004,7000,7000,1,0.6,0.06,0.000112982,0.000024
0.002,0.004,7000,7000,3,0.2,0.06,0.001755918,0.000192641
0.002,0.004,7000,7000,3,0.6,0.02,0.001511483,0.000178635
0.004,0.002,3000,3000,1,0.2,0.02,0.000973021,0.0000667
0.004,0.002,3000,3000,1,0.6,0.06,0.002419435,0.0000168
0.004,0.002,3000,3000,3,0.2,0.06,0.002032116,0.000233255
0.004,0.002,3000,3000,3,0.6,0.02,0.002407294,0.0000894
0.004,0.002,3000,7000,1,0.2,0.06,0.001520485,0.0000722
0.004,0.002,3000,7000,1,0.6,0.02,0.002233068,0.0000402
0.004,0.002,3000,7000,3,0.2,0.02,0.002827081,0.000212203
0.004,0.002,3000,7000,3,0.6,0.06,0.002632799,0.000072445
0.004,0.002,7000,3000,1,0.2,0.06,0.0000896,0.0000232
0.004,0.002,7000,3000,1,0.6,0.02,0.000627557,0.0000144
0.004,0.002,7000,3000,3,0.2,0.02,0.000221686,0.0000653
0.004,0.002,7000,3000,3,0.6,0.06,0.000942377,0.0000742
0.004,0.002,7000,7000,1,0.2,0.02,0.000954906,0.0000736
0.004,0.002,7000,7000,1,0.6,0.06,0.00244557,0.0000151
0.004,0.002,7000,7000,3,0.2,0.06,0.001795179,0.000304537
0.004,0.002,7000,7000,3,0.6,0.02,0.002397319,0.0000912
0.004,0.004,3000,3000,1,0.2,0.06,0.000449658,0.0000392
0.004,0.004,3000,3000,1,0.6,0.02,0.000532182,0.0000422
0.004,0.004,3000,3000,3,0.2,0.02,0.001980445,0.0001387
0.004,0.004,3000,3000,3,0.6,0.06,0.002265081,0.000120645
0.004,0.004,3000,7000,1,0.2,0.02,0.000651281,0.00006
0.004,0.004,3000,7000,1,0.6,0.06,0.001391795,0.0000734
0.004,0.004,3000,7000,3,0.2,0.06,0.002388311,0.000171188
0.004,0.004,3000,7000,3,0.6,0.02,0.002417471,0.000158752
0.004,0.004,7000,3000,1,0.2,0.02,0.000209017,0.000019
0.004,0.004,7000,3000,1,0.6,0.06,0.000202218,0.0000177
0.004,0.004,7000,3000,3,0.2,0.06,0.000863319,0.0000762
0.004,0.004,7000,3000,3,0.6,0.02,0.000631784,0.0000888
0.004,0.004,7000,7000,1,0.2,0.06,0.000457554,0.000043
0.004,0.004,7000,7000,1,0.6,0.02,0.000655829,0.0000389
0.004,0.004,7000,7000,3,0.2,0.02,0.001367443,0.000125358
0.004,0.004,7000,7000,3,0.6,0.06,0.001945212,0.00013427
0.001056527,0.003,5000,5000,2,0.4,0.04,0.000620997,0.0000926
0.004943473,0.003,5000,5000,2,0.4,0.04,0.001709553,0.000143868
0.003,0.001056527,5000,5000,2,0.4,0.04,0.000436278,0.0000857
0.003,0.004943473,5000,5000,2,0.4,0.04,0.001005938,0.000110296
0.003,0.003,1113.053826,5000,2,0.4,0.04,0.001969965,0.000121983
0.003,0.003,8886.946174,5000,2,0.4,0.04,0.000348613,0.000043373
0.003,0.003,5000,1113.053826,2,0.4,0.04,0.000145918,0.0000413
0.003,0.003,5000,8886.946174,2,0.4,0.04,0.001574328,0.000107774
0.003,0.003,5000,5000,0.056526913,0.4,0.04,0.0000177,0.00000421
0.003,0.003,5000,5000,3.943473087,0.4,0.04,0.001862394,0.000129082
0.003,0.003,5000,5000,2,0.011305383,0.04,0.0000185,0.00000298
0.003,0.003,5000,5000,2,0.788694617,0.04,0.001978478,0.0000597
0.003,0.003,5000,5000,2,0.4,0.001130538,0.000627054,0.0000674
0.003,0.003,5000,5000,2,0.4,0.078869462,0.000819491,0.0000984
0.003,0.003,5000,5000,2,0.4,0.04,0.000886119,0.0000874
0.003,0.003,5000,5000,2,0.4,0.04,0.000844402,0.0000696
